No.,Time,Source,Destination,Protocol,Length,Info,Type,Type of attack
3973,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:45168 RA,Non-Attack,No Attack
3974,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:37581 > 192.168.100.11:http S,Non-Attack,No Attack
3975,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:37581 RA,Non-Attack,No Attack
3976,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:53564 > 192.168.100.11:http S,Non-Attack,No Attack
3977,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:53564 RA,Non-Attack,No Attack
3978,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:13136 > 192.168.100.11:http S,Non-Attack,No Attack
3979,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:13136 RA,Non-Attack,No Attack
3980,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:25815 > 192.168.100.11:http S,Non-Attack,No Attack
3981,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:25815 RA,Non-Attack,No Attack
3982,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:55128 > 192.168.100.11:http S,Non-Attack,No Attack
3983,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:55128 RA,Non-Attack,No Attack
3984,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:25077 > 192.168.100.11:http S,Non-Attack,No Attack
3985,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:25077 RA,Non-Attack,No Attack
3986,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:16585 > 192.168.100.11:http S,Non-Attack,No Attack
3987,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:16585 RA,Non-Attack,No Attack
